瘤痢,瘤痢疙,老矫,扁柯(∑C),扁柯 QC敲贰弊,碍荐樊(mm),碍荐樊 QC敲贰弊,浅加(m/s),浅加 QC敲贰弊,浅氢(16规困),浅氢 QC敲贰弊,嚼档(%),嚼档 QC敲贰弊,刘扁拘(hPa),捞浇痢柯档(∑C),泅瘤扁拘(hPa),泅瘤扁拘 QC敲贰弊,秦搁扁拘(hPa),秦搁扁拘 QC敲贰弊,老炼(hr),老炼 QC敲贰弊,老荤(MJ/m2),利汲(cm),3矫埃脚利汲(cm),傈款樊(10盒困),吝窍摸款樊(10盒困),款屈(款屈距绢),弥历款绊(100m ),矫沥(10m),瘤搁惑怕(瘤搁惑怕内靛),泅惑锅龋(惫郴侥),瘤搁柯档(∑C),瘤搁柯档 QC敲贰弊,5cm 瘤吝柯档(∑C),10cm 瘤吝柯档(∑C),20cm 瘤吝柯档(∑C),30cm 瘤吝柯档(∑C)
156,堡林,2019-01-12 22:00,3.7,0,,9,1.1,,70,,73,0,5.8,-.7,1014.9,0,1023.9,0,,9,,,,7,5,,16,347,,40,-.7,0,,,,
156,堡林,2019-01-12 23:00,4,0,,9,.3,,0,,73,0,5.9,-.4,1015.5,0,1024.5,0,,9,,,,0,0,,,341,,40,-.2,0,,,,
156,堡林,2019-01-13 00:00,3.9,0,,9,.6,,340,,76,0,6.1,0,1015.5,0,1024.5,0,,9,,,,1,1,,,384,,4019,.2,0,,,,
156,堡林,2019-01-13 01:00,2.8,0,,,0,,0,,82,0,6.1,0,1015.3,0,1024.4,0,,9,,,,0,0,,,358,,19,-.8,0,,,,
156,堡林,2019-01-13 02:00,2.7,0,,,.6,,70,,86,0,6.3,.5,1015.6,0,1024.7,0,,9,,,,0,0,,,312,,19,-.7,0,,,,
156,堡林,2019-01-13 03:00,2.6,0,,,.5,,340,,89,0,6.5,.9,1015.9,0,1025,0,,9,,,,0,0,,,296,,19,-.9,0,,,,
156,堡林,2019-01-13 04:00,1,0,,,1,,20,,93,0,6.1,0,1015.4,0,1024.6,0,,9,,,,0,0,,,242,,19,-1.2,0,,,,
156,堡林,2019-01-13 05:00,1.4,0,,,.7,,250,,93,0,6.2,.3,1015.3,0,1024.4,0,,9,,,,0,0,,,261,,19,-1.6,0,,,,
156,堡林,2019-01-13 06:00,.6,0,,,0,,0,,95,0,6.1,-.1,1015.7,0,1024.9,0,,9,,,,0,0,,,220,,19,-2,0,,,,
156,堡林,2019-01-13 07:00,0,0,,,.3,,0,,97,0,5.9,-.4,1016.3,0,1025.5,0,,9,,,,0,0,,,195,,19,-2.3,0,,,,
156,堡林,2019-01-13 08:00,.3,0,,,.6,,20,,93,0,5.8,-.7,1016.7,0,1025.9,0,0,,.05,,,0,0,,,257,,19,-2.4,0,,,,
156,堡林,2019-01-13 09:00,1.1,0,,,.4,,0,,85,0,5.6,-1.1,1016.9,0,1026.1,0,.5,,.33,,,0,0,,,293,,19,-1.4,0,,,,
156,堡林,2019-01-13 10:00,2.5,0,,,.7,,250,,77,0,5.6,-1.1,1017.2,0,1026.3,0,1,,.9,,,0,0,,,324,,19,-.9,0,,,,
156,堡林,2019-01-13 11:00,3.9,0,,,1.1,,290,,64,0,5.2,-2.3,1017,0,1026.1,0,1,,1.46,,,0,0,,,380,,4019,5.3,0,,,,
156,堡林,2019-01-13 12:00,5.8,0,,,1.3,,290,,54,0,5,-2.8,1016.3,0,1025.3,0,1,,1.89,,,0,0,,,494,,40,10.9,0,,,,
156,堡林,2019-01-13 13:00,6.7,0,,,1.2,,250,,45,0,4.4,-4.4,1015.7,0,1024.7,0,1,,2.03,,,0,0,,,619,,40,12.8,0,,,,
156,堡林,2019-01-13 14:00,8.3,0,,,1.5,,360,,38,0,4.2,-5.2,1015.2,0,1024.1,0,1,,1.94,,,0,0,,,858,,40,12.7,0,,,,
156,堡林,2019-01-13 15:00,8.1,0,,,1.4,,270,,39,0,4.2,-5,1015.1,0,1024,0,1,,1.59,,,0,0,,,774,,40,11.3,0,,,,
156,堡林,2019-01-13 16:00,7.6,0,,,1.4,,360,,40,0,4.2,-5.1,1015.3,0,1024.2,0,1,,1.16,,,0,0,,,755,,40,8.3,0,,,,
156,堡林,2019-01-13 17:00,6.7,0,,,1.7,,340,,47,0,4.6,-3.8,1015.6,0,1024.6,0,1,,.58,,,0,0,,,704,,40,4.6,0,,,,
156,堡林,2019-01-13 18:00,5.1,0,,,1.5,,360,,44,0,3.9,-6.1,1016.4,0,1025.4,0,.3,,.12,,,0,0,,,1032,,40,1.3,0,,,,
156,堡林,2019-01-13 19:00,3.8,0,,,1.4,,20,,47,0,3.8,-6.5,1016.9,0,1026,0,,9,,,,0,0,,,1042,,,-.7,0,,,,
156,堡林,2019-01-13 20:00,2.6,0,,,.8,,50,,52,0,3.8,-6.2,1017.2,0,1026.3,0,,9,,,,0,0,,,1008,,,-.6,0,,,,
156,堡林,2019-01-13 21:00,2.2,0,,,1,,70,,53,0,3.8,-6.4,1017.2,0,1026.3,0,,9,,,,0,0,,,907,,40,-1.1,0,,,,
156,堡林,2019-01-13 22:00,1.9,0,,,.7,,50,,59,0,4.2,-5.2,1017.4,0,1026.5,0,,9,,,,0,0,,,710,,40,-1.6,0,,,,
156,堡林,2019-01-13 23:00,1.2,0,,,1.2,,20,,66,0,4.4,-4.4,1017.5,0,1026.7,0,,9,,,,0,0,,,614,,40,-2,0,,,,
156,堡林,2019-01-14 00:00,.7,0,,,.4,,0,,70,0,4.5,-4.1,1017.7,0,1026.9,0,,9,,,,0,0,,,552,,4019,-2.4,0,,,,
156,堡林,2019-01-14 01:00,.2,0,,,1,,20,,77,0,4.8,-3.3,1017.2,0,1026.4,0,,9,,,,0,0,,,473,,19,-2.8,0,,,,
156,堡林,2019-01-14 02:00,-.1,0,,,1.3,,20,,82,0,5,-2.8,1017.3,0,1026.5,0,,9,,,,0,0,,,349,,19,-3.2,0,,,,
156,堡林,2019-01-14 03:00,-.7,0,,,.5,,340,,84,0,4.9,-3,1017.4,0,1026.6,0,,9,,,,0,0,,,377,,19,-3.6,0,,,,
156,堡林,2019-01-14 04:00,-1.2,0,,,.8,,20,,84,0,4.7,-3.5,1017.1,0,1026.3,0,,9,,,,0,0,,,364,,19,-3.9,0,,,,
156,堡林,2019-01-14 05:00,-1.9,0,,,.2,,0,,88,0,4.7,-3.6,1017,0,1026.3,0,,9,,,,0,0,,,329,,19,-4.2,0,,,,
156,堡林,2019-01-14 06:00,-2,0,,,1,,290,,89,0,4.7,-3.5,1017.3,0,1026.6,0,,9,,,,0,0,,,318,,19,-4.5,0,,,,
156,堡林,2019-01-14 07:00,-2,0,,,.7,,250,,90,0,4.8,-3.4,1017.7,0,1027,0,,9,,,,0,0,,,300,,19,-4.8,0,,,,
156,堡林,2019-01-14 08:00,-1.8,0,,,.2,,0,,91,0,4.9,-3,1018.2,0,1027.5,0,0,,.05,,,0,0,,,293,,19,-4.8,0,,,,
156,堡林,2019-01-14 09:00,-.8,0,,,.1,,0,,87,0,5,-2.6,1018.4,0,1027.6,0,.6,,.36,,,0,0,,,276,,19,-2.7,0,,,,
156,堡林,2019-01-14 10:00,.9,,,,.3,,0,,80,,5.2,-2.1,1018.4,,1027.6,,1,,.94,,,0,0,,,293,,19,-1,,,,,
156,堡林,2019-01-14 11:00,3.7,,,,.9,,50,,64,,5.1,-2.4,1018,,1027.1,,1,,1.52,,,0,0,,,341,,4019,3.3,,,,,
156,堡林,2019-01-14 12:00,4.8,,,,.8,,360,,57,,4.9,-3,1017.5,,1026.5,,1,,1.83,,,0,0,,,360,,40,6.9,,,,,
156,堡林,2019-01-14 13:00,6.6,,,,2,,250,,52,,5.1,-2.5,1016.4,,1025.4,,1,,1.94,,,0,0,,,415,,40,11.7,0,,,,
156,堡林,2019-01-14 14:00,7.9,,,,.7,,110,,45,,4.8,-3.3,1015.4,,1024.3,,1,,1.98,,,0,0,,,493,,40,12.6,0,,,,
156,堡林,2019-01-14 15:00,8.1,,,,1.7,,270,,43,,4.6,-3.7,1015.3,,1024.2,,.7,,1.31,,,8,8,Ac,49,620,,40,10.5,,,,,
156,堡林,2019-01-14 16:00,8,,,,2,,250,,44,,4.7,-3.5,1015.1,,1024,,.4,,.99,,,8,0,Ci,,594,,40,9,,,,,
156,堡林,2019-01-14 17:00,7.4,,,,1,,290,,47,,4.9,-3.1,1015.1,,1024,,.5,,.54,,,4,0,Ci,,474,,40,5.3,,,,,
156,堡林,2019-01-14 18:00,5.4,,,,1,,360,,58,,5.2,-2.2,1015.8,,1024.8,,0,,.1,,,2,0,Ci,,344,,40,1.6,,,,,
156,堡林,2019-01-14 19:00,4,,,,.8,,250,,65,,5.3,-1.9,1015.9,,1024.9,,,9,,,,6,0,,,290,,40,-.3,,,,,
156,堡林,2019-01-14 20:00,3.1,,,,.7,,230,,72,,5.5,-1.4,1015.7,,1024.8,,,9,,,,6,0,,,253,,40,-.7,,,,,
156,堡林,2019-01-14 21:00,2.5,,,,.5,,270,,75,,5.5,-1.4,1015.8,,1024.9,,,9,,,,4,4,Sc,10,239,,40,-1,,,,,
156,堡林,2019-01-14 22:00,2,,,,0,,0,,75,,5.3,-1.9,1015.5,,1024.6,,,9,,,,8,0,,,230,,40,-1.3,,,,,
156,堡林,2019-01-14 23:00,1.9,,,,.4,,0,,77,,5.4,-1.7,1015.7,,1024.8,,,9,,,,8,5,,42,219,,4019,-1.4,,,,,
156,堡林,2019-01-15 00:00,1.3,,,,.6,,250,,81,,5.4,-1.6,1015.4,,1024.5,,,9,,,,10,10,As,30,209,,19,-1.5,,,,,
156,堡林,2019-01-15 01:00,1,,,,.1,,0,,83,,5.5,-1.5,1014.7,,1023.9,,,9,,,,9,4,,59,204,,19,-1.5,,,,,
156,堡林,2019-01-15 02:00,.5,,,,1.8,,250,,87,,5.5,-1.4,1015.2,,1024.4,,,9,,,,10,4,,39,189,,19,-1.5,,,,,
156,堡林,2019-01-15 03:00,.8,,,,.1,,0,,86,,5.6,-1.2,1015.4,,1024.6,,,9,,,,10,2,ScAs,10,193,,19,-1.4,,,,,
156,堡林,2019-01-15 04:00,.7,,,,.4,,0,,87,,5.6,-1.2,1014.8,,1024,,,9,,,,10,4,ScAs,10,191,,19,-1.5,,,,,
156,堡林,2019-01-15 05:00,1.2,,,,.6,,250,,85,,5.7,-1,1014.5,,1023.6,,,9,,,,10,7,ScAs,10,192,,19,-1.2,,,,,
156,堡林,2019-01-15 06:00,1.3,,,,.1,,0,,85,,5.7,-.9,1014,,1023.1,,,9,,,,9,9,Sc,10,192,,19,-1.1,,,,,
156,堡林,2019-01-15 07:00,.2,,,,.7,,250,,89,,5.5,-1.4,1014.5,,1023.7,,,9,,,,6,6,Sc,7,173,,19,-1.4,,,,,
156,堡林,2019-01-15 08:00,.3,,,,.7,,250,,91,,5.7,-1,1014.8,,1024,,0,,.05,,,1,1,Sc,7,172,,19,-1.7,,,,,
156,堡林,2019-01-15 09:00,1.1,,,,.1,,0,,88,,5.8,-.6,1015,,1024.2,,0,,.24,,,5,5,Sc,7,185,,19,-1.2,,,,,
156,堡林,2019-01-15 10:00,3,,,,.4,,0,,81,,6.1,0,1015.5,,1024.6,,.7,,.77,,,1,1,Sc,10,196,,19,-.5,,,,,
156,堡林,2019-01-15 11:00,4.6,,,,.8,,290,,72,,6.1,0,1015.6,,1024.6,,1,,1.26,,,1,1,Sc,8,217,,19,6.2,,,,,
156,堡林,2019-01-15 12:00,6.1,,,,1.6,,360,,58,,5.5,-1.5,1015.2,,1024.2,,1,,1.54,,,8,8,Sc,8,348,,4019,9.5,,,,,
156,堡林,2019-01-15 13:00,6.5,,,,2.2,,360,,49,,4.8,-3.4,1014.5,,1023.5,,.9,,1.69,,,5,5,Sc,10,455,,40,10.5,,,,,
156,堡林,2019-01-15 14:00,6.8,,,,3.2,,290,,47,,4.6,-3.7,1014,,1022.9,,.8,,1.3,,,6,6,Sc,13,729,,40,9,,,,,
156,堡林,2019-01-15 15:00,6.5,,,,3.1,,290,,48,,4.6,-3.7,1013.9,,1022.9,,.8,,1.28,,,7,7,Sc,13,979,,40,9.4,,,,,
156,堡林,2019-01-15 16:00,4.9,,,,2.6,,270,,66,,5.7,-.9,1014.5,,1023.5,,0,,.48,,,10,9,ScAs,10,641,,40,5.5,,,,,
156,堡林,2019-01-15 17:00,2.6,,,9,3.2,,20,,78,,5.8,-.8,1015.5,,1024.6,,0,,.11,,,10,9,ScAs,5,399,,4001,3,,,,,
156,堡林,2019-01-15 18:00,2.3,,0,,1.6,,20,,71,,5.1,-2.4,1016,,1025.1,,0,,.09,,,10,9,ScAs,7,643,,40,1.8,,,,,
156,堡林,2019-01-15 19:00,1.4,,,9,1.5,,320,,62,,4.2,-5,1016.9,,1026.1,,,9,,,,10,7,,9,1420,,40,.5,,,,,
156,堡林,2019-01-15 20:00,.3,,,9,2.5,,360,,66,,4.1,-5.3,1017.4,,1026.6,,,9,,,,10,5,,8,1783,,,-.3,,,,,
156,堡林,2019-01-15 21:00,-.5,,0,,2.7,,20,,71,,4.2,-5.1,1017.4,,1026.6,,,9,,,,9,9,CuSc,6,1464,,08,-.6,,,,,
156,堡林,2019-01-15 22:00,-1.1,,,9,2.7,,20,,74,,4.2,-5.1,1017.8,,1027.1,,,9,,,,9,9,CuSc,6,656,,08,-.8,,,,,
156,堡林,2019-01-15 23:00,-1.9,,,9,3.1,,20,,80,,4.3,-4.8,1018,,1027.3,,,9,,,,9,9,CuSc,6,1619,,08,-.8,,,,,
156,堡林,2019-01-16 00:00,-1.9,,0,,3,,360,,59,,3.1,-8.8,1018.2,,1027.5,,,9,,,,8,8,CuSc,6,2000,,08,-1.2,,,,,
156,堡林,2019-01-16 01:00,-1.9,,,9,2.3,,20,,55,,2.9,-9.7,1017.9,,1027.2,,,9,,,,9,9,CuSc,6,2000,,08,-1.6,,,,,
156,堡林,2019-01-16 02:00,-2.4,,,9,2.9,,20,,56,,2.9,-9.9,1018.4,,1027.7,,,9,,,,6,6,Sc,10,2000,,08,-2.2,,,,,
156,堡林,2019-01-16 03:00,-3.3,,0,9,3.4,,20,,60,,2.9,-9.9,1018.8,,1028.1,,,9,,,,6,6,Sc,10,2000,,,-3.3,,,,,
156,堡林,2019-01-16 04:00,-3.8,,,9,2.9,,20,,60,,2.8,-10.4,1018.8,,1028.2,,,9,,,,3,3,Sc,10,2000,,,-4.1,,,,,
